name,place_id,rating,types,vicinity,geometry.location.lat,geometry.location.lng,opening_hours.open_now,icon,name_join
Cajero Banco Santander,ChIJcxThX4OOQQ0RYow5FGO_PyQ,,"['atm', 'finance', 'point_of_interest', 'establishment']","Avenida del Alcalde de Móstoles, 2, Móstoles",40.3317237,-3.8567025,True,https://maps.gstatic.com/mapfiles/place_api/icons/atm-71.png,santander
Bankia,ChIJhcCJZIOOQQ0RZ3H0ImnBLOk,3.1,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Avenida ALCALDE DE MOSTOLES C/V BECQUER, Móstoles",40.3310049,-3.8570782,False,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,bankia
Bankia,ChIJFVhATYiOQQ0RDr9vl_VHBuM,2.3,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Calle Dalia, s/n c/v Nardos s/n Poligono Los Rosales, Móstoles",40.3380999,-3.8645157,False,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,bankia
Bankia,ChIJn5fgZSiMQQ0R5A7rEmPNU8U,3.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Calle del Pintor Rosales, 2, Móstoles",40.3324854,-3.864056,,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,bankia
Cajero Automático Bankia,ChIJFVhATYiOQQ0RBtscVRXdD-s,,"['atm', 'finance', 'point_of_interest', 'establishment']","Calle Dalia, 38, Móstoles",40.3381298,-3.8648657,True,https://maps.gstatic.com/mapfiles/place_api/icons/atm-71.png,bankia
Bankinter,ChIJw-G1UIKOQQ0Rxnvj1a0fzfM,4.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Avenida de Portugal, 19, Móstoles",40.3283335,-3.858070099999999,False,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,bankinter
Oficina Banco Santander,ChIJU_n9OIeOQQ0RZtc5BFp4REM,1.7,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Calle Miguel Ángel, 13, Móstoles",40.3320466,-3.8640927,True,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,santander
Cajero automático Bankinter,ChIJgSnsS42PQQ0RvB_ol_ZGKDM,,"['atm', 'finance', 'point_of_interest', 'establishment']","Avenida de Portugal, 19, Móstoles",40.3282111,-3.8581927,True,https://maps.gstatic.com/mapfiles/place_api/icons/atm-71.png,bankinter
Santander ATM,ChIJURO9OIeOQQ0RrVHYFYjDd8Y,,"['atm', 'finance', 'point_of_interest', 'establishment']",,40.332145,-3.864377,True,https://maps.gstatic.com/mapfiles/place_api/icons/atm-71.png,santander
Oficina Banco Santander,ChIJpyxWRp2OQQ0R7_w1A0NwyDY,1.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","Calle de la Libertad, 26, Móstoles",40.3275662,-3.8546792,True,https://maps.gstatic.com/mapfiles/place_api/icons/bank_dollar-71.png,santander
